Nebraska,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,#d00000
Nevada,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,#041E42
New Mexico,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,#ba0c2f
New Mexico State,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png,#882345
North Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,#4B9CD3
Northern Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,#C8102E
North Texas,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,#00853E
Northwestern,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,#4E2A84
Notre Dame,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,#0C2340
Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,#024230
Ohio State,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,#BB0000
Oklahoma,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,#841617
Oklahoma State,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,#FE5C00
Old Dominion,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png,#003057
Ole Miss,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,#162b48
Oregon,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,#007030
Oregon State,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png,#DC4405
Penn State,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,#001E44
Pittsburgh,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,#003594
Purdue,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,#000000
Rice,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,#00205B
Rutgers,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,#CC0033
San Diego State,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,#000000
San José State,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,#0055A2
SMU,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,#0033A0
South Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png,#00205B
South Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,#73000A
Southern Mississippi,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,#FFAB00
South Florida,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png,#006747
Stanford,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,#8C1515
Syracuse,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,#D44500
TCU,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,#4D1979
Temple,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,#9E1B34
Tennessee,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,#FF8200
Texas,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,#BF5700
Texas A&M,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png,#500000
Texas State,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png,#501214
Texas Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,#000000
Toledo,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,#15397F
Troy,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,#9E0531
Tulane,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,#006747
Tulsa,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png,#002D72
UAB,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,#006341
UCF,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,#000000
UCLA,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png,#2774AE
UMass,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png,#572932
UNLV,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,#CF0A2C
USC,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,#990000
Utah,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,#CC0000
Utah State,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,#0F2439
UTEP,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,#FF8200
UT San Antonio,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,#F15A22
Vanderbilt,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png,#000000
Virginia,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png,#E57200
Virginia Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,#630031
Wake Forest,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,#000000
Washington,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png,#4B2E83
Washington State,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png,#981E32
Western Kentucky,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png,#C60C30
Western Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,#532E1F
